low-bm,low-rf,hi-bm,hi-rf,run,type,low-fidelity,high-fidelity
0.2,0.6,0.23,0.64,14,high-fidelity,0,106
0.2,0.6,0.23,0.64,15,high-fidelity,0,86
0.2,0.6,0.23,0.64,16,high-fidelity,0,102
0.2,0.6,0.23,0.64,17,high-fidelity,0,111
0.2,0.6,0.23,0.64,18,high-fidelity,0,101
0.2,0.6,0.23,0.64,19,high-fidelity,0,82
0.2,0.6,0.23,0.64,0,together,98,1
0.2,0.6,0.23,0.64,1,together,44,47
0.2,0.6,0.23,0.64,2,together,0,84
0.2,0.6,0.23,0.64,3,together,0,107
0.2,0.6,0.23,0.64,4,together,95,0
0.2,0.6,0.23,0.64,5,together,99,0
0.2,0.6,0.23,0.64,6,together,95,0
0.2,0.6,0.23,0.64,7,together,55,40
0.2,0.6,0.23,0.64,8,together,0,91
0.2,0.6,0.23,0.64,9,together,78,0
0.2,0.6,0.23,0.64,10,together,0,92
0.2,0.6,0.23,0.64,11,together,87,0
0.2,0.6,0.23,0.64,12,together,104,0
0.2,0.6,0.23,0.64,13,together,0,87
0.2,0.6,0.23,0.64,14,together,108,0
0.2,0.6,0.23,0.64,15,together,0,101
0.2,0.6,0.23,0.64,16,together,96,0
0.2,0.6,0.23,0.64,17,together,87,0
0.2,0.6,0.23,0.64,18,together,99,0
0.2,0.6,0.23,0.64,19,together,0,100
0.2,0.6,0.37,0.65,0,low-fidelity,92,0
0.2,0.6,0.37,0.65,1,low-fidelity,89,0
0.2,0.6,0.37,0.65,2,low-fidelity,106,0
0.2,0.6,0.37,0.65,3,low-fidelity,87,0
0.2,0.6,0.37,0.65,4,low-fidelity,102,0
0.2,0.6,0.37,0.65,5,low-fidelity,94,0
0.2,0.6,0.37,0.65,6,low-fidelity,101,0
0.2,0.6,0.37,0.65,7,low-fidelity,107,0
0.2,0.6,0.37,0.65,8,low-fidelity,96,0
0.2,0.6,0.37,0.65,9,low-fidelity,99,0
0.2,0.6,0.37,0.65,10,low-fidelity,91,0
0.2,0.6,0.37,0.65,11,low-fidelity,89,0
0.2,0.6,0.37,0.65,12,low-fidelity,103,0
0.2,0.6,0.37,0.65,13,low-fidelity,107,0
0.2,0.6,0.37,0.65,14,low-fidelity,89,0
0.2,0.6,0.37,0.65,15,low-fidelity,108,0
0.2,0.6,0.37,0.65,16,low-fidelity,108,0
0.2,0.6,0.37,0.65,17,low-fidelity,88,0
0.2,0.6,0.37,0.65,18,low-fidelity,88,0
0.2,0.6,0.37,0.65,19,low-fidelity,110,0
0.2,0.6,0.37,0.65,0,high-fidelity,0,70
0.2,0.6,0.37,0.65,1,high-fidelity,0,65
0.2,0.6,0.37,0.65,2,high-fidelity,0,53
0.2,0.6,0.37,0.65,3,high-fidelity,0,63
0.2,0.6,0.37,0.65,4,high-fidelity,0,76
0.2,0.6,0.37,0.65,5,high-fidelity,0,61
0.2,0.6,0.37,0.65,6,high-fidelity,0,66
0.2,0.6,0.37,0.65,7,high-fidelity,0,49
0.2,0.6,0.37,0.65,8,high-fidelity,0,64
0.2,0.6,0.37,0.65,9,high-fidelity,0,67
0.2,0.6,0.37,0.65,10,high-fidelity,0,70
0.2,0.6,0.37,0.65,11,high-fidelity,0,62
0.2,0.6,0.37,0.65,12,high-fidelity,0,59
0.2,0.6,0.37,0.65,13,high-fidelity,0,62
0.2,0.6,0.37,0.65,14,high-fidelity,0,70
0.2,0.6,0.37,0.65,15,high-fidelity,0,52
0.2,0.6,0.37,0.65,16,high-fidelity,0,60
0.2,0.6,0.37,0.65,17,high-fidelity,0,63
0.2,0.6,0.37,0.65,18,high-fidelity,0,68
0.2,0.6,0.37,0.65,19,high-fidelity,0,71
0.2,0.6,0.37,0.65,0,together,77,0
0.2,0.6,0.37,0.65,1,together,94,0
0.2,0.6,0.37,0.65,2,together,72,0
